UTF-8,latin1
"""Москва"",","""Moscow"","
"""Московская область"",","""Moscow region"","
"""Санкт-Петербург"",","""St. Petersburg"","
"""Свердловская область"",","""Sverdlovsk region"","
"""Самарская область"",","""Samara region"","
"""Республика Саха (Якутия)"",","""Republic of Sakha (Yakutia)"","
"""Нижегородская область"",","""Nizhny Novgorod region"","
"""Кировская область"",","""Kirov region"","
"""Калининградская область"",","""Kaliningrad region"","
"""Республика Татарстан"",","""Republic of Tatarstan"","
"""Тульская область"",","""Tula region"","
"""Красноярский край"",","""Krasnoyarsk Territory"","
"""Краснодарский край"",","""Krasnodar Territory"","
"""Новосибирская область"",","""Novosibirsk region"","
"""Хабаровский край"",","""Khabarovsk Territory"","
"""Тюменская область"",","""Tyumen region"","
"""Тамбовская область"",","""Tambov region"","
"""Пермский край"",","""Perm region"","
"""Липецкая область"",","""Lipetsk region"","
"""Тверская область"",","""Tver region"","
"""Удмуртская Республика"",","""Udmurt Republic"","
"""Кабардино-Балкарская Республика"",","""Kabardino-Balkarian Republic"","
"""Воронежская область"",","""Voronezh region"","
"""Кемеровская область"",","""Kemerovo region"","
"""Архангельская область"",","""Arkhangelsk region"","
"""Рязанская область"",","""Ryazan region"","
"""Ханты-Мансийский АО"",","""Khanty-Mansi Autonomous Okrug"","
"""Пензенская область"",","""Penza region"","
"""Республика Коми"",","""Republic of Komi"","
"""Мурманская область"",","""Murmansk region"","
"""Республика Чувашия"",","""Republic of Chuvashia"","
"""Ленинградская область"",","""Leningrad region"","
"""Ставропольский край"",","""Stavropol Territory"","
"""Республика Крым"",","""Republic of Crimea"","
"""Калужская область"",","""Kaluga region"","
"""Курганская область"",","""Kurgan region"","
"""Брянская область"",","""Bryansk region"","
"""Саратовская область"",","""Saratov region"","
"""Ярославская область"",","""Yaroslavl region"","
"""Забайкальский край"",","""Trans-Baikal Territory"","
"""Ивановская область"",","""Ivanovo region"","
"""Белгородская область"",","""Belgorod region"","
"""Ульяновская область"",","""Ulyanovsk region"","
"""Новгородская область"",","""Novgorod region"","
"""Челябинская область"",","""Chelyabinsk region"","
"""Томская область"",","""Tomsk region"","
"""Оренбургская область"",","""Orenburg region"","
"""Республика Хакасия"",","​​""Republic of Khakassia"","
"""Всего"",","""Total"","
"""Республика Башкортостан"",","""Republic of Bashkortostan"","
"""Приморский край"",","""Primorsky Territory"","
"""Орловская область"",","""Oryol region"","
"""Чеченская Республика"",","""Chechen Republic"","
"""Волгоградская область"",","""Volgograd region"","
"""Псковская область"",","""Pskov region"","
"""Ростовская область"",","""Rostov region"","
"""Республика Бурятия"",","""Republic of Buryatia"","
"""Республика Мордовия"",","""Republic of Mordovia"","
"""Республика Дагестан"",","""Republic of Dagestan"","
"""Сахалинская область"",","""Sakhalin Region"","
"""Республика Адыгея"",","""Republic of Adygea"","
"""Смоленская область"",","""Smolensk region"","
"""Костромская область"",","""Kostroma region"","
"""Омская область"",","""Omsk region"","
"""Амурская область"",","""Amur Region"","
"""Иркутская область"",","""Irkutsk region"","
"""Севастополь"",","""Sevastopol"","
"""Вологодская область"",","""Vologda region"","
"""Владимирская область"",","""Vladimir region"","
"""Республика Марий Эл"",","""Republic of Mari El"","
"""Алтайский край"",","""Altai Territory"","
"""Республика Калмыкия"",","""Republic of Kalmykia"","
"""Астраханская область"",","""Astrakhan region"","
"""Магаданская область"",","""Magadan region"","
"""Курская область"",","""Kursk region"","
"""Республика Северная Осетия — Алания"",","""Republic of North Ossetia - Alania"","
"""Ямало-Ненецкий автономный округ"",","""Yamalo-Nenets Autonomous Okrug"","
"""Еврейская автономная область"",","""Jewish Autonomous Region"","
"""Республика Ингушетия"",","""Republic of Ingushetia"","
"""Республика Карелия"",","""Republic of Karelia"","
"""Камчатский край"",","""Kamchatka Territory"","
"""Карачаево-Черкесская Республика"",","""Karachay-Cherkess Republic"","
"""Республика Тыва"",","""Republic of Tyva"","
"""Ненецкий автономный округ"",","""Nenets Autonomous Okrug"","
"""Чукотский автономный округ"",","""Chukotka Autonomous Okrug"","
"""Республика Алтай"",","""Republic of Altai"","
